Season,Team,Round.Number,Season.Points,Score.For,Score.Against,Percentage,Ladder.Position
2022,Collingwood,20,56,1618,1523,1.062376888,3
2022,Sydney,20,52,1776,1404,1.264957265,4
2022,Brisbane Lions,20,52,1895,1537,1.232921275,5
2022,Fremantle,20,50,1484,1292,1.148606811,6
2022,Carlton,20,48,1628,1446,1.125864454,7
2022,St Kilda,20,44,1498,1436,1.043175487,8
2022,Richmond,20,42,1787,1567,1.14039566,9
2022,Footscray,20,40,1746,1596,1.093984962,10
2022,Gold Coast,20,36,1635,1584,1.03219697,11
2022,Port Adelaide,20,32,1478,1412,1.04674221,12
2022,Hawthorn,20,28,1586,1713,0.925861062,13
2022,Essendon,20,28,1531,1704,0.898474178,14
2022,Adelaide,20,24,1461,1715,0.851895044,15
2022,GWS,20,20,1409,1707,0.825424722,16
2022,West Coast,20,8,1250,2085,0.599520384,17
2022,North Melbourne,20,8,1128,2054,0.549172347,18
2022,Geelong,21,64,1896,1383,1.370932755,1
2022,Collingwood,21,60,1714,1612,1.063275434,2
2022,Melbourne,21,56,1742,1352,1.288461538,3
2022,Sydney,21,56,1902,1492,1.274798928,4
2022,Brisbane Lions,21,56,2009,1618,1.241656366,5
2022,Fremantle,21,54,1579,1370,1.152554745,6
2022,Carlton,21,48,1709,1560,1.095512821,7
2022,Richmond,21,46,1896,1638,1.157509158,8
2022,St Kilda,21,44,1563,1546,1.010996119,9
2022,Footscray,21,40,1824,1691,1.078651685,10
2022,Gold Coast,21,36,1698,1654,1.026602177,11
2022,Port Adelaide,21,32,1549,1521,1.018408941,12
2022,Hawthorn,21,32,1656,1776,0.932432432,13
2022,Essendon,21,28,1600,1800,0.888888889,14
2022,Adelaide,21,28,1563,1801,0.867851194,15
2022,GWS,21,24,1505,1776,0.84740991,16
2022,West Coast,21,8,1336,2187,0.610882487,17
2022,North Melbourne,21,8,1216,2180,0.557798165,18
2022,Geelong,22,68,2015,1442,1.397364771,1
2022,Sydney,22,60,1979,1542,1.283398184,2
2022,Melbourne,22,60,1821,1426,1.276998597,3
2022,Brisbane Lions,22,60,2090,1684,1.241092637,4
2022,Collingwood,22,60,1764,1689,1.044404973,5
2022,Fremantle,22,58,1650,1417,1.164431898,6
2022,Richmond,22,50,2024,1705,1.187096774,7
2022,Carlton,22,48,1783,1639,1.08785845,8
2022,Footscray,22,44,1886,1748,1.078947368,9
2022,St Kilda,22,44,1629,1627,1.001229256,10
2022,Port Adelaide,22,36,1695,1583,1.070751737,11
2022,Gold Coast,22,36,1757,1773,0.990975747,12
2022,Hawthorn,22,32,1723,1904,0.904936975,13
2022,Adelaide,22,32,1666,1875,0.888533333,14
2022,Essendon,22,28,1662,1946,0.854059609,15
2022,GWS,22,24,1562,1838,0.849836779,16
2022,West Coast,22,8,1383,2258,0.612488928,17
2022,North Melbourne,22,8,1290,2283,0.565045992,18
2022,Geelong,23,72,2146,1488,1.442204301,1
2022,Melbourne,23,64,1936,1483,1.305461902,2
2022,Sydney,23,64,2067,1616,1.279084158,3
2022,Collingwood,23,64,1839,1763,1.043108338,4
2022,Fremantle,23,62,1739,1486,1.17025572,5
2022,Brisbane Lions,23,60,2147,1799,1.1934408,6
2022,Richmond,23,54,2165,1780,1.216292135,7
2022,Footscray,23,48,1973,1812,1.088852097,8
2022,Carlton,23,48,1857,1714,1.083430572,9
2022,St Kilda,23,44,1703,1715,0.993002915,10
2022,Port Adelaide,23,40,1806,1638,1.102564103,11
2022,Gold Coast,23,40,1871,1820,1.028021978,12
2022,Hawthorn,23,32,1787,1991,0.897538925,13
2022,Adelaide,23,32,1721,1986,0.866565962,14
2022,Essendon,23,28,1737,2087,0.832295161,15
2022,GWS,23,24,1631,1927,0.846393358,16
2022,West Coast,23,8,1429,2389,0.598158225,17
2022,North Melbourne,23,8,1337,2397,0.557780559,18
2023,Essendon,1,4,124,65,1.907692308,1
2023,Sydney,1,4,110,61,1.803278689,2
2023,Melbourne,1,4,115,65,1.769230769,3
2023,Port Adelaide,1,4,126,72,1.75,4
2023,St Kilda,1,4,67,52,1.288461538,5
2023,Collingwood,1,4,125,103,1.213592233,6
2023,GWS,1,4,106,90,1.177777778,7
2023,North Melbourne,1,4,87,82,1.06097561,8
2023,Carlton,1,2,58,58,1,9
2023,Richmond,1,2,58,58,1,10
2023,West Coast,1,0,82,87,0.942528736,11
2023,Adelaide,1,0,90,106,0.849056604,12
2023,Geelong,1,0,103,125,0.824,13
2023,Fremantle,1,0,52,67,0.776119403,14
2023,Brisbane Lions,1,0,72,126,0.571428571,15
2023,Footscray,1,0,65,115,0.565217391,16
2023,Gold Coast,1,0,61,110,0.554545455,17
2023,Hawthorn,1,0,65,124,0.524193548,18
2023,Sydney,2,8,228,98,2.326530612,1
2023,St Kilda,2,8,159,93,1.709677419,2
2023,Essendon,2,8,232,145,1.6,3
2023,Collingwood,2,8,260,167,1.556886228,4
2023,North Melbourne,2,8,160,154,1.038961039,5
2023,Richmond,2,6,166,134,1.23880597,6
2023,Carlton,2,6,148,140,1.057142857,7
2023,Melbourne,2,4,197,158,1.246835443,8
2023,West Coast,2,4,182,168,1.083333333,9
2023,GWS,2,4,187,190,0.984210526,10
2023,Port Adelaide,2,4,190,207,0.917874396,11
2023,Brisbane Lions,2,4,165,208,0.793269231,12
2023,Fremantle,2,0,124,140,0.885714286,13
2023,Geelong,2,0,185,215,0.860465116,14
2023,Adelaide,2,0,166,214,0.775700935,15
2023,Gold Coast,2,0,141,218,0.646788991,16
2023,Footscray,2,0,106,207,0.512077295,17
2023,Hawthorn,2,0,102,242,0.421487603,18
2023,St Kilda,3,12,251,167,1.502994012,1
2023,Collingwood,3,12,323,216,1.49537037,2
2023,Carlton,3,10,222,204,1.088235294,3
2023,Melbourne,3,8,331,242,1.367768595,4
2023,Sydney,3,8,312,232,1.344827586,5
2023,Essendon,3,8,306,237,1.291139241,6
2023,North Melbourne,3,8,221,234,0.944444444,7
2023,Richmond,3,6,215,197,1.091370558,8
2023,Fremantle,3,4,232,207,1.120772947,9
2023,GWS,3,4,251,264,0.950757576,10
2023,Adelaide,3,4,283,300,0.943333333,11
2023,West Coast,3,4,249,276,0.902173913,12
2023,Port Adelaide,3,4,276,324,0.851851852,13
2023,Brisbane Lions,3,4,218,275,0.792727273,14
2023,Gold Coast,3,4,214,272,0.786764706,15
2023,Footscray,3,4,173,260,0.665384615,16
2023,Hawthorn,3,4,182,303,0.600660066,17
2023,Geelong,3,0,239,288,0.829861111,18
2023,St Kilda,4,16,364,227,1.603524229,1
2023,Carlton,4,14,329,288,1.142361111,2
2023,Melbourne,4,12,457,305,1.498360656,3
2023,Essendon,4,12,394,312,1.262820513,4
2023,Collingwood,4,12,406,332,1.222891566,5
2023,Sydney,4,8,376,298,1.261744966,6
2023,Adelaide,4,8,394,372,1.059139785,7
2023,Brisbane Lions,4,8,334,358,0.932960894,8
2023,North Melbourne,4,8,305,341,0.894428152,9
2023,Port Adelaide,4,8,342,388,0.881443299,10
2023,Footscray,4,8,262,344,0.761627907,11
2023,Richmond,4,6,299,286,1.045454545,12
2023,Geelong,4,4,366,333,1.099099099,13
2023,Fremantle,4,4,304,318,0.955974843,14
2023,GWS,4,4,326,352,0.926136364,15
2023,West Coast,4,4,312,402,0.776119403,16
2023,Gold Coast,4,4,274,385,0.711688312,17
2023,Hawthorn,4,4,227,430,0.527906977,18
2023,St Kilda,5,16,428,297,1.441077441,1
2023,Essendon,5,16,498,389,1.280205656,2
2023,Collingwood,5,16,476,396,1.202020202,3
2023,Carlton,5,14,391,406,0.963054187,4
2023,Sydney,5,12,498,376,1.324468085,5
2023,Melbourne,5,12,534,409,1.305623472,6
2023,Adelaide,5,12,512,434,1.179723502,7
2023,Brisbane Lions,5,12,486,435,1.117241379,8
2023,Port Adelaide,5,12,412,444,0.927927928,9
2023,Geelong,5,8,502,422,1.18957346,10
2023,Fremantle,5,8,404,408,0.990196078,11
2023,GWS,5,8,403,427,0.943793911,12
2023,North Melbourne,5,8,382,493,0.77484787,13
2023,Footscray,5,8,318,414,0.768115942,14
2023,Richmond,5,6,377,408,0.924019608,15
2023,Gold Coast,5,4,364,485,0.750515464,16
2023,West Coast,5,4,401,538,0.74535316,17
2023,Hawthorn,5,4,302,507,0.59566075,18
2023,St Kilda,6,20,510,357,1.428571429,1
2023,Collingwood,6,20,566,473,1.196617336,2
2023,Melbourne,6,16,630,487,1.293634497,3
2023,Essendon,6,16,575,479,1.200417537,4
2023,Adelaide,6,16,591,510,1.158823529,5
2023,Brisbane Lions,6,16,594,522,1.137931034,6
2023,Port Adelaide,6,16,521,513,1.015594542,7
2023,Carlton,6,14,451,488,0.924180328,8
2023,Geelong,6,12,632,459,1.376906318,9
2023,Sydney,6,12,535,506,1.057312253,10
2023,Footscray,6,12,436,483,0.902691511,11
2023,GWS,6,8,490,535,0.91588785,12
2023,Fremantle,6,8,473,526,0.899239544,13
2023,Gold Coast,6,8,461,539,0.85528757,14
2023,North Melbourne,6,8,436,590,0.738983051,15
2023,Richmond,6,6,455,504,0.902777778,16
2023,West Coast,6,4,470,647,0.726429675,17
2023,Hawthorn,6,4,378,586,0.645051195,18
2023,Collingwood,7,24,625,531,1.177024482,1
2023,Melbourne,7,20,769,536,1.434701493,2
2023,St Kilda,7,20,586,440,1.331818182,3
2023,Brisbane Lions,7,20,709,589,1.203735144,4
2023,Port Adelaide,7,20,604,589,1.025466893,5
2023,Carlton,7,18,603,532,1.133458647,6
2023,Geelong,7,16,764,563,1.357015986,7
2023,Adelaide,7,16,649,569,1.14059754,8
2023,Essendon,7,16,679,611,1.111292962,9
2023,Footscray,7,16,530,548,0.967153285,10
2023,Sydney,7,12,641,613,1.045676998,11
2023,GWS,7,12,597,641,0.931357254,12
2023,Gold Coast,7,12,533,587,0.908006814,13
2023,Fremantle,7,8,540,641,0.842433697,14
2023,North Melbourne,7,8,485,729,0.665294925,15
2023,Richmond,7,6,503,576,0.873263889,16
2023,Hawthorn,7,4,443,680,0.651470588,17
2023,West Coast,7,4,514,799,0.64330413,18
2023,Collingwood,8,28,702,579,1.212435233,1
2023,Melbourne,8,24,859,621,1.383252818,2
2023,St Kilda,8,24,650,474,1.371308017,3
2023,Brisbane Lions,8,24,809,663,1.220211161,4
2023,Port Adelaide,8,24,696,676,1.029585799,5
2023,Geelong,8,20,862,635,1.357480315,6
2023,Footscray,8,20,616,619,0.995153473,7
2023,Carlton,8,18,677,632,1.071202532,8
2023,Essendon,8,16,766,703,1.089615932,9
2023,Adelaide,8,16,721,667,1.08095952,10
2023,Sydney,8,12,689,690,0.998550725,11
2023,Fremantle,8,12,657,689,0.953555878,12
2023,GWS,8,12,668,727,0.918844567,13
2023,Gold Coast,8,12,618,677,0.912850812,14
2023,Richmond,8,10,607,634,0.957413249,15
2023,North Melbourne,8,8,519,793,0.654476671,16
2023,West Coast,8,4,572,903,0.633444075,17
2023,Hawthorn,8,4,491,797,0.616060226,18
2023,Collingwood,9,32,822,634,1.296529968,1
2023,Melbourne,9,28,962,670,1.435820896,2
2023,Brisbane Lions,9,28,896,708,1.265536723,3
2023,Port Adelaide,9,28,831,741,1.12145749,4
2023,St Kilda,9,24,719,595,1.208403361,5
2023,Footscray,9,24,695,678,1.025073746,6
2023,Geelong,9,20,940,737,1.275440977,7
2023,Adelaide,9,20,842,736,1.144021739,8
2023,Carlton,9,18,736,711,1.035161744,9
2023,Essendon,9,16,811,790,1.026582278,10
2023,Gold Coast,9,16,731,720,1.015277778,11
2023,Fremantle,9,16,760,775,0.980645161,12
2023,Richmond,9,14,709,712,0.995786517,13
2023,Sydney,9,12,775,793,0.977301387,14
2023,GWS,9,12,723,847,0.853600945,15
2023,North Melbourne,9,8,584,928,0.629310345,16
2023,West Coast,9,4,615,1016,0.605314961,17
2023,Hawthorn,9,4,540,900,0.6,18
2023,Collingwood,10,36,907,691,1.312590449,1
2023,Brisbane Lions,10,32,1003,772,1.299222798,2
2023,Port Adelaide,10,32,911,817,1.11505508,3
2023,Melbourne,10,28,1038,750,1.384,4
2023,St Kilda,10,28,811,675,1.201481481,5
2023,Footscray,10,28,780,718,1.086350975,6
2023,Geelong,10,20,1017,843,1.206405694,7
2023,Adelaide,10,20,882,821,1.074299635,8
2023,Essendon,10,20,882,860,1.025581395,9
2023,Fremantle,10,20,866,852,1.016431925,10
2023,Carlton,10,18,793,796,0.996231156,11
2023,Sydney,10,16,868,883,0.983012458,12
2023,Gold Coast,10,16,795,827,0.961305925,13
2023,Richmond,10,14,779,783,0.994891443,14
2023,GWS,10,12,803,939,0.855165069,15
2023,Hawthorn,10,8,682,926,0.73650108,16
2023,North Melbourne,10,8,674,1021,0.66013712,17
2023,West Coast,10,4,641,1158,0.553540587,18
2023,Collingwood,11,40,1012,761,1.329829172,1
2023,Port Adelaide,11,36,988,884,1.117647059,2
2023,Brisbane Lions,11,32,1081,867,1.246828143,3
2023,Melbourne,11,28,1110,829,1.338962606,4
2023,St Kilda,11,28,889,763,1.165137615,5
2023,Footscray,11,28,857,802,1.068578554,6
2023,Adelaide,11,24,977,899,1.08676307,7
2023,Essendon,11,24,978,906,1.079470199,8
2023,Fremantle,11,24,945,924,1.022727273,9
2023,Geelong,11,20,1091,924,1.180735931,10
2023,Sydney,11,20,945,934,1.011777302,11
2023,Gold Coast,11,20,879,904,0.972345133,12
2023,Carlton,11,18,844,873,0.966781214,13
2023,GWS,11,16,884,1013,0.872655479,14
2023,Richmond,11,14,846,860,0.98372093,15
2023,Hawthorn,11,12,770,1004,0.766932271,16
2023,North Melbourne,11,8,744,1126,0.660746004,17
2023,West Coast,11,4,687,1254,0.54784689,18
2023,Collingwood,12,44,1132,818,1.383863081,1
2023,Port Adelaide,12,40,1139,980,1.162244898,2
2023,Melbourne,12,32,1171,873,1.341351661,3
2023,Brisbane Lions,12,32,1081,867,1.246828143,4
2023,St Kilda,12,28,889,763,1.165137615,5
2023,Essendon,12,28,1083,1005,1.07761194,6
2023,Footscray,12,28,932,899,1.036707453,7
2023,Geelong,12,24,1188,999,1.189189189,8
2023,Adelaide,12,24,1064,1011,1.052423343,9
2023,Fremantle,12,24,945,924,1.022727273,10
2023,Gold Coast,12,24,991,991,1,11
2023,Sydney,12,20,945,934,1.011777302,12
2023,Richmond,12,18,956,964,0.991701245,13
2023,Carlton,12,18,888,934,0.950749465,14
2023,GWS,12,16,988,1123,0.879786287,15
2023,Hawthorn,12,12,866,1155,0.74978355,16
2023,North Melbourne,12,8,843,1231,0.684809098,17
2023,West Coast,12,4,744,1374,0.541484716,18
2023,Collingwood,13,44,1194,884,1.350678733,1
2023,Port Adelaide,13,44,1246,1065,1.169953052,2
2023,Melbourne,13,36,1237,935,1.322994652,3
2023,Brisbane Lions,13,32,1154,965,1.195854922,4
2023,St Kilda,13,32,969,829,1.168878166,5
2023,Essendon,13,32,1169,1057,1.105960265,6
2023,Adelaide,13,28,1238,1063,1.16462841,7
2023,Footscray,13,28,1017,1006,1.010934394,8
2023,Geelong,13,24,1188,999,1.189189189,9
2023,Fremantle,13,24,1015,1009,1.005946482,10
2023,Gold Coast,13,24,991,991,1,11
2023,Richmond,13,22,1041,1034,1.006769826,12
2023,Sydney,13,20,1011,1014,0.99704142,13
2023,GWS,13,20,1091,1198,0.910684474,14
2023,Carlton,13,18,940,1020,0.921568627,15
2023,Hawthorn,13,16,964,1228,0.785016287,16
2023,North Melbourne,13,8,918,1334,0.688155922,17
2023,West Coast,13,4,796,1548,0.514211886,18
2023,Port Adelaide,14,48,1356,1137,1.192612137,1
2023,Collingwood,14,44,1194,884,1.350678733,2
2023,Melbourne,14,36,1237,935,1.322994652,3
2023,Brisbane Lions,14,36,1251,1046,1.195984704,4
2023,St Kilda,14,32,1039,919,1.130576714,5
2023,Essendon,14,32,1169,1057,1.105960265,6
2023,Footscray,14,32,1122,1090,1.029357798,7
2023,Adelaide,14,28,1238,1063,1.16462841,8
2023,Richmond,14,26,1131,1104,1.024456522,9
2023,Geelong,14,24,1260,1109,1.136158702,10
2023,GWS,14,24,1197,1234,0.970016207,11
2023,Gold Coast,14,24,1052,1111,0.946894689,12
2023,Fremantle,14,24,1051,1115,0.942600897,13
2023,Carlton,14,22,1060,1081,0.980573543,14
2023,Sydney,14,20,1092,1111,0.98289829,15
2023,Hawthorn,14,16,964,1228,0.785016287,16
2023,North Melbourne,14,8,1002,1439,0.696316887,17
2023,West Coast,14,4,796,1548,0.514211886,18
2023,Collingwood,15,48,1276,964,1.323651452,1
2023,Port Adelaide,15,48,1356,1137,1.192612137,2
2023,Brisbane Lions,15,40,1335,1102,1.211433757,3
2023,Melbourne,15,36,1300,1013,1.283316881,4
2023,St Kilda,15,32,1095,1003,1.091724826,5
