k2kSponsored,match.name,match.date,match.status,match.matchId,match.venue,match.utcStartTime,match.homeTeamId,match.awayTeamId,match.round,match.venueLocalStartTime,match.abbr,match.twitterHashTag,match.homeTeam.name,match.homeTeam.timeZone,match.homeTeam.teamId,match.homeTeam.abbr,match.homeTeam.nickname,match.awayTeam.name,match.awayTeam.timeZone,match.awayTeam.teamId,match.awayTeam.abbr,match.awayTeam.nickname,venue.address,venue.name,venue.state,venue.timeZone,venue.venueId,venue.abbreviation,venue.capacity,venue.groundDimension,venue.latitude,venue.longitude,venue.landOwner,round.name,round.year,round.roundId,round.abbreviation,round.competitionId,round.roundNumber,status,matchId,scoreWorm,scoreMap,lastUpdated,homeTeamScore.periodScore,homeTeamScore.rushedBehinds,homeTeamScore.minutesInFront,homeTeamScore.matchScore.totalScore,homeTeamScore.matchScore.goals,homeTeamScore.matchScore.behinds,homeTeamScore.matchScore.superGoals,awayTeamScore.periodScore,awayTeamScore.rushedBehinds,awayTeamScore.minutesInFront,awayTeamScore.matchScore.totalScore,awayTeamScore.matchScore.goals,awayTeamScore.matchScore.behinds,awayTeamScore.matchScore.superGoals,matchClock.periods,weather.description,weather.tempInCelsius,weather.weatherType,homeTeamScoreChart.goals,homeTeamScoreChart.leftBehinds,homeTeamScoreChart.rightBehinds,homeTeamScoreChart.leftPosters,homeTeamScoreChart.rightPosters,homeTeamScoreChart.rushedBehinds,homeTeamScoreChart.touchedBehinds,awayTeamScoreChart.goals,awayTeamScoreChart.leftBehinds,awayTeamScoreChart.rightBehinds,awayTeamScoreChart.leftPosters,awayTeamScoreChart.rightPosters,awayTeamScoreChart.rushedBehinds,awayTeamScoreChart.touchedBehinds
FALSE,West Coast Eagles Vs St Kilda,2023-07-02T06:40:00Z,CONCLUDED,CD_M20230141608,CD_V2925,2023-07-02T06:40:00,CD_T150,CD_T130,CD_R202301416,2023-07-02T14:40:00,WCE V STK,#afleaglessaints,West Coast Eagles,NA,CD_T150,WCE,Eagles,St Kilda,NA,CD_T130,STK,Saints,Perth,Optus Stadium,WA,Australia/Perth,CD_V2925,OS,NA,NA,NA,NA,Whadjuk,Round 16,2023,CD_R202301416,Rd 16,CD_S2023014,16,CONCLUDED,CD_M20230141608,NA,NA,2023-07-02T09:45:18.148+0000,,1,84,77,12,5,NA,,2,31,85,12,13,NA,,Mostly Sunny,18,MOSTLY_SUNNY,12,3,1,0,0,1,0,12,4,6,1,0,2,0
FALSE,Richmond Vs Sydney Swans,2023-07-06T09:20:00Z,CONCLUDED,CD_M20230141707,CD_V40,2023-07-06T09:20:00,CD_T120,CD_T160,CD_R202301417,2023-07-06T19:20:00,RICH V SYD,#afltigersswans,Richmond,NA,CD_T120,RICH,Tigers,Sydney Swans,NA,CD_T160,SYD,Swans,Melbourne,MCG,VIC,Australia/Melbourne,CD_V40,MCG,NA,NA,NA,NA,Wurundjeri,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141707,NA,NA,2023-07-06T12:16:27.851+0000,,2,20,88,12,16,NA,,2,94,75,11,9,NA,,Shower or two developing,15,RAIN,12,6,7,0,1,2,0,11,3,3,0,1,2,0
FALSE,Western Bulldogs Vs Collingwood,2023-07-07T09:50:00Z,CONCLUDED,CD_M20230141709,CD_V190,2023-07-07T09:50:00,CD_T140,CD_T40,CD_R202301417,2023-07-07T19:50:00,WB V COLL,#afldogspies,Western Bulldogs,NA,CD_T140,WB,Bulldogs,Collingwood,NA,CD_T40,COLL,Magpies,Melbourne,Marvel Stadium,VIC,Australia/Melbourne,CD_V190,MRVL,NA,NA,NA,NA,Wurundjeri,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141709,NA,NA,2023-07-07T12:36:10.006+0000,,1,55,77,11,11,NA,,2,56,89,13,11,NA,,Shower or two,15,RAIN,11,3,6,0,1,1,0,13,5,2,1,1,2,0
FALSE,Brisbane Lions Vs West Coast Eagles,2023-07-08T03:45:00Z,CONCLUDED,CD_M20230141701,CD_V20,2023-07-08T03:45:00,CD_T20,CD_T150,CD_R202301417,2023-07-08T13:45:00,BL V WCE,#afllionseagles,Brisbane Lions,NA,CD_T20,BL,Lions,West Coast Eagles,NA,CD_T150,WCE,Eagles,Brisbane,Gabba,QLD,Australia/Brisbane,CD_V20,G,NA,NA,NA,NA,Yuggera - Toorabul,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141701,NA,NA,2023-07-08T06:33:09.224+0000,,6,112,116,16,20,NA,,2,0,35,5,5,NA,,Sunny,21,SUNNY,16,8,5,0,0,6,1,5,0,1,0,1,2,1
FALSE,GWS GIANTS Vs Hawthorn,2023-07-08T06:35:00Z,CONCLUDED,CD_M20230141705,CD_V43,2023-07-08T06:35:00,CD_T1010,CD_T80,CD_R202301417,2023-07-08T16:35:00,GWS V HAW,#aflgiantshawks,GWS GIANTS,NA,CD_T1010,GWS,GIANTS,Hawthorn,NA,CD_T80,HAW,Hawks,Sydney,ENGIE Stadium,NSW,Australia/Sydney,CD_V43,ES,NA,NA,NA,NA,Wangal,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141705,NA,NA,2023-07-08T09:21:23.112+0000,,2,96,85,12,13,NA,,2,8,72,10,12,NA,,Becoming windy Sunny,21,WINDY,12,2,6,2,1,2,0,10,4,6,0,0,2,0
FALSE,St Kilda Vs Melbourne,2023-07-08T09:25:00Z,CONCLUDED,CD_M20230141708,CD_V190,2023-07-08T09:25:00,CD_T130,CD_T90,CD_R202301417,2023-07-08T19:25:00,STK V MELB,#aflsaintsdees,St Kilda,NA,CD_T130,STK,Saints,Melbourne,NA,CD_T90,MELB,Demons,Melbourne,Marvel Stadium,VIC,Australia/Melbourne,CD_V190,MRVL,NA,NA,NA,NA,Wurundjeri,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141708,NA,NA,2023-07-08T12:16:47.071+0000,,1,13,58,8,10,NA,,2,85,79,12,7,NA,,Showers easing Windy,14,RAIN,8,3,2,1,2,1,1,12,0,1,4,0,2,0
FALSE,Port Adelaide Vs Gold Coast SUNS,2023-07-08T09:40:00Z,CONCLUDED,CD_M20230141706,CD_V6,2023-07-08T09:40:00,CD_T110,CD_T1000,CD_R202301417,2023-07-08T19:10:00,PORT V GCFC,#aflpowersuns,Port Adelaide,NA,CD_T110,PORT,Power,Gold Coast SUNS,NA,CD_T1000,GCFC,SUNS,Adelaide,Adelaide Oval,SA,Australia/Adelaide,CD_V6,AO,NA,NA,NA,NA,Kaurna,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141706,NA,NA,2023-07-08T12:30:41.394+0000,,2,78,106,16,10,NA,,2,32,73,11,7,NA,,Mostly Sunny,18,MOSTLY_SUNNY,16,0,3,4,1,2,0,11,0,3,1,0,2,1
FALSE,Geelong Cats Vs North Melbourne,2023-07-09T03:10:00Z,CONCLUDED,CD_M20230141704,CD_V30,2023-07-09T03:10:00,CD_T70,CD_T100,CD_R202301417,2023-07-09T13:10:00,GEEL V NMFC,#aflcatsnorth,Geelong Cats,NA,CD_T70,GEEL,Cats,North Melbourne,NA,CD_T100,NMFC,Kangaroos,Geelong,GMHBA Stadium,VIC,Australia/Melbourne,CD_V30,GMHBA,NA,NA,NA,NA,Wadawurrung,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141704,NA,NA,2023-07-09T06:06:20.414+0000,,3,112,125,19,11,NA,,5,9,63,9,9,NA,,Showers,16,RAIN,19,2,3,0,2,3,1,9,0,3,0,1,5,0
FALSE,Essendon Vs Adelaide Crows,2023-07-09T05:20:00Z,CONCLUDED,CD_M20230141702,CD_V190,2023-07-09T05:20:00,CD_T50,CD_T10,CD_R202301417,2023-07-09T15:20:00,ESS V ADEL,#afldonscrows,Essendon,NA,CD_T50,ESS,Bombers,Adelaide Crows,NA,CD_T10,ADEL,Crows,Melbourne,Marvel Stadium,VIC,Australia/Melbourne,CD_V190,MRVL,NA,NA,NA,NA,Wurundjeri,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141702,NA,NA,2023-07-09T08:22:49.315+0000,,6,125,115,17,13,NA,,2,0,97,15,7,NA,,Showers easing,16,RAIN,17,2,3,0,1,6,1,15,1,2,1,0,2,1
FALSE,Fremantle Vs Carlton,2023-07-09T06:40:00Z,CONCLUDED,CD_M20230141703,CD_V2925,2023-07-09T06:40:00,CD_T60,CD_T30,CD_R202301417,2023-07-09T14:40:00,FRE V CARL,#aflfreoblues,Fremantle,NA,CD_T60,FRE,Freo,Carlton,NA,CD_T30,CARL,Blues,Perth,Optus Stadium,WA,Australia/Perth,CD_V2925,OS,NA,NA,NA,NA,Whadjuk,Round 17,2023,CD_R202301417,Rd 17,CD_S2023014,17,CONCLUDED,CD_M20230141703,NA,NA,2023-07-09T09:29:19.591+0000,,4,0,45,6,9,NA,,4,113,98,14,14,NA,,Mostly Sunny,18,MOSTLY_SUNNY,6,5,0,0,0,4,0,14,6,4,0,0,4,0
